name,n,e,h
A20,205475.012,706737.991,95.979
A21,205393.373,706717.991,94.873
A22,205255.607,706471.218,76.189
A23,205220.816,706563.085,83.185
B24,205200.801,706648.133,89.236
B25,205279.815,706694.737,91.904
B26,205476.776,706820.538,99.344
B27,205509.897,706629.954,87.978
C28,205543.304,706501.54,81.404
C29,205432.243,706503.959,76.889
C30,205321.01,706491.095,75.766
C31,205309.423,706793.493,102.312
D32,205196.215,706788.003,103.109
D33,205417.539,706805.814,102.103
D34,205297.404,706604.953,83.48
D35,205388.703,706618.45,83.035
